"source","target","id","developer_comments"
"XCHAPTITLE_0002","8.两个人见面的地方","XCHAPTITLE_0002",""
"XMESS_0000","（又……来到这里了。）","XMESS_0000",""
"XMESS_0001","虽说如此……这是怎么回事？","XMESS_0001",""
"XMESS_0002","来到这片海滩，
各种各样的感情交替涌来。","XMESS_0002",""
"XMESS_0003","总觉得有点可怕……","XMESS_0003",""
"XMESS_0004","好像什么都是从这里开始的……
有一种怀念的感觉。","XMESS_0004",""
"XMESS_0005","啊……
这真是个不可思议的地方。","XMESS_0005",""
"XMESS_0006","慎平，你果然来了。","XMESS_0006",""
"XMESS_0007","因为我有这种感觉。
你就在这里等着。","XMESS_0007",""
"XMESS_0008","呵呵，是什么感觉啊？","XMESS_0008",""
"XMESS_0009","谁知道呢。
我也不明白。","XMESS_0009",""
"XMESS_0010","这样啊……
不过，怎么都好。","XMESS_0010",""
"XMESS_0011","一开始还有些不安，
不过慢慢地我就习惯了……","XMESS_0011",""
"XMESS_0012","但是，那件事我还没接受哦？","XMESS_0012",""
"XMESS_0013","…………","XMESS_0013",""
"XMESS_0014","为什么非得这么早就回东京？","XMESS_0014",""
"XMESS_0015","……对不起。","XMESS_0015",""
"XMESS_0016","我还想让你暑假期间，
一直待在这里呢。","XMESS_0016",""
"XMESS_0017","当然，我也知道那只是我的一厢情愿。","XMESS_0017",""
"XMESS_0018","但是……
我希望能和慎平一起多待几天……
因为我很期待……","XMESS_0018",""
"XMESS_0019","明明这样，
你还说什么马上就回去。
慎平真是薄情啊。","XMESS_0019",""
"XMESS_0020","真的对不起。
但是，我也确实有很多不方便的事。","XMESS_0020",""
"XMESS_0021","又要打工，
又得做必须在夏天做的课题。","XMESS_0021",""
"XMESS_0022","开学之后考试和研修都会变多，
所以我必须要做好准备……","XMESS_0022",""
"XMESS_0023","……那么辛苦吗？","XMESS_0023",""
"XMESS_0024","是啊，所以这次回老家，
我不能待太久。","XMESS_0024",""
"XMESS_0025","知道了。
结果，比起岛上的事情，
在东京的生活对你更重要吧。","XMESS_0025",""
"XMESS_0026","你怎么会这么想呢。","XMESS_0026",""
"XMESS_0027","无所谓了。
慎平已经是东京人了。","XMESS_0027",""
"XMESS_0028","我在岛上的心情，
无所谓。","XMESS_0028",""
"XMESS_0029","潮……","XMESS_0029",""
"XMESS_0030","我真的没关系。
你回东京要小心啊。","XMESS_0030",""
"XMESS_0031","…………","XMESS_0031",""
"XMESS_0032","（我自己也不太清楚……）","XMESS_0032",""
"XMESS_0033","（不过我觉得如果不把我心中的
　这种郁闷的心情告诉她，
　以后会非常后悔的……）","XMESS_0033",""
"XMESS_0034","那个，潮……","XMESS_0034",""
"XMESS_0035","嗯，什么？","XMESS_0035",""
"XMESS_0036","关于我为什么要去东京……的理由。
怎么说呢，这样下去不行……
我就是这么想的。","XMESS_0036",""
"XMESS_0037","怎么回事？","XMESS_0037",""
"XMESS_0038","嗯，我自己也不知道该怎么解释才好……","XMESS_0038",""
"XMESS_0039","慎平本人都不能解释的事情，
我怎么可能明白嘛。","XMESS_0039",""
"XMESS_0040","啊～……该怎么说才好呢……","XMESS_0040",""
"XMESS_0041","（俯瞰。
　正是这种时候才应该俯瞰自己。）","XMESS_0041",""
"XMESS_0042","（想去东京……
　不，是我想离开这个岛的理由。）","XMESS_0042",""
"XMESS_0043","（没错，那是……）","XMESS_0043",""
"XMESS_0044","因为我有一种会被你丢下的感觉……","XMESS_0044",""
"XMESS_0045","啊？我哪里都不打算去。","XMESS_0045",""
"XMESS_0046","不，不是这个意思！
怎么说呢，那个……","XMESS_0046",""
"XMESS_0047","你是那种不考虑后果就行动的类型吧？","XMESS_0047",""
"XMESS_0048","偶、偶尔会这样吧。
不过，也不是总是这样吧？","XMESS_0048",""
"XMESS_0049","（不是“偶尔”啊……）","XMESS_0049",""
"XMESS_0050","然后呢……？","XMESS_0050",""
"XMESS_0051","为什么如果我是不考虑后果而行动的类型的话，
慎平就会去东京呢？","XMESS_0051",""
"XMESS_0052","虽然我说得不太好……
我觉得有些不安。","XMESS_0052",""
"XMESS_0053","诶……为什么？","XMESS_0053",""
"XMESS_0054","也许，在这之后，
你还会不断地去做各种各样的事情，
积累各种各样的经验……","XMESS_0054",""
"XMESS_0055","就这样不断重复着成功和失败，
逐渐成长……","XMESS_0055",""
"XMESS_0056","…………","XMESS_0056",""
"XMESS_0057","然、然后……你……","XMESS_0057",""
"XMESS_0058","你将会变得遥不可及，
这种不安感越来越大……！","XMESS_0058",""
"XMESS_0059","你在说什么遥不可及啊？
我一直在慎平的旁边。","XMESS_0059",""
"XMESS_0060","说什么一直，你……","XMESS_0060",""
"XMESS_0061","（啊……原来如此。）","XMESS_0061",""
"XMESS_0062","（原来我想一直待在潮旁边啊……）","XMESS_0062",""
"XMESS_0063","（所以……）","XMESS_0063",""
"XMESS_0064","（想稍微改变一下自己……
　也许我是这样想的。）","XMESS_0064",""
"XMESS_0065","（为了今后也能一直和潮一起走下去……）","XMESS_0065",""
"XMESS_0066","…………","XMESS_0066",""
"XMESS_0067","不是不是不是！","XMESS_0067",""
"XMESS_0068","怎、怎么突然！？","XMESS_0068",""
"XMESS_0069","（如果刚才那句话是我的真心话，
　那简直就是——）","XMESS_0069",""
"XMESS_0070","怎么了？
你的脸很红哦？","XMESS_0070",""
"XMESS_0071","总、总之你要记住！
总有一天我绝对……！","XMESS_0071",""
"XMESS_0072","嗯、嗯……","XMESS_0072",""
"XMESS_0073","虽、虽然不知道要过几年……！","XMESS_0073",""
"XMESS_0074","（这、这之后，我该怎么继续说呢！？
　“成为适合你的男人”？
　“我来接你”？）","XMESS_0074",""
"XMESS_0075","（好像都是正确答案……
　不，不是那样的……）","XMESS_0075",""
"XMESS_0076","（话说回来，这种台词，
　本来就不可能不带羞耻地说出来的！）","XMESS_0076",""
"XMESS_0077","慎平，你没事吧？
慎平今天感觉有点奇怪哦？","XMESS_0077",""
"XMESS_0078","我、我没事！
结果，我想说的是……","XMESS_0078",""
"XMESS_0079","我会做出比现在更好吃的咖喱，
让你“哇哼”一声！
就是这个……意思。","XMESS_0079",""
"XMESS_0080","慎平……","XMESS_0080",""
"XMESS_0081","怎、怎么了……？","XMESS_0081",""
"XMESS_0082","莫名其妙。","XMESS_0082",""
"XMESS_0083","（啊，我也有同感啊……）","XMESS_0083",""
"XMESS_0084","但是，我觉得有点明白了。","XMESS_0084",""
"XMESS_0085","……诶？","XMESS_0085",""
