"source","target","id","developer_comments"
"metadata#0x0000efbb+10"," 的删除","metadata#0x0000efbb+10",""
"metadata#0x00028382+35","Steam没有启动。","metadata#0x00028382+35",""
"metadata#0x0003b4a5+245","■ 权利标记 ■

该软件使用了株式会社CRI Middleware的
“CRIWARE (TM)”。　　　　　　　

协助　Fontworks株式会社　　　　　　　　　　
","metadata#0x0003b4a5+245",""
"metadata#0x0003b5fa+88","要取消检查“%TITLE_NAME%”的存档数据吗？","metadata#0x0003b5fa+88",""
"metadata#0x0003b652+72","正在检查“%TITLE_NAME%”的存档数据。","metadata#0x0003b652+72",""
"metadata#0x0003b72d+18","香织路线","metadata#0x0003b72d+18",""
"metadata#0x0003b73f+51","要保存至今为止的游戏进度吗？","metadata#0x0003b73f+51",""
"metadata#0x0003b772+36","要回到这个场景吗？","metadata#0x0003b772+36",""
"metadata#0x0003b796+51","要载入这个存档数据吗？","metadata#0x0003b796+51",""
"metadata#0x0003b7c9+48","要删除这个存档数据吗？","metadata#0x0003b7c9+48",""
"metadata#0x0003b7f9+48","要删除这个存档数据吗？","metadata#0x0003b7f9+48",""
"metadata#0x0003b829+73","这个操作不能取消。
真的可以吗？","metadata#0x0003b829+73",""
"metadata#0x0003b872+33","这样可以吗？","metadata#0x0003b872+33",""
"metadata#0x0003b893+36","请稍等。","metadata#0x0003b893+36",""
"metadata#0x0003b8b7+122","请稍等。

请勿切断主机电源或退出游戏。","metadata#0x0003b8b7+122",""
"metadata#0x0003b931+6","是","metadata#0x0003b931+6",""
"metadata#0x0003b937+16","是,否","metadata#0x0003b937+16",""
"metadata#0x0003b947+18","日鹤路线","metadata#0x0003b947+18",""
"metadata#0x0003b95f+15","结局","metadata#0x0003b95f+15",""
"metadata#0x0003b96e+42","结局已开放。","metadata#0x0003b96e+42",""
"metadata#0x0003b998+27","结局·香织","metadata#0x0003b998+27",""
"metadata#0x0003b9b3+27","结局·日鹤","metadata#0x0003b9b3+27",""
"metadata#0x0003b9ce+21","结局·潮","metadata#0x0003b9ce+21",""
"metadata#0x0003b9e3+21","结局·澪","metadata#0x0003b9e3+21",""
"metadata#0x0003b9f8+60","这是自动保存的地方，无法保存。","metadata#0x0003b9f8+60",""
"metadata#0x0003ba34+54","要初始化键位设定吗？","metadata#0x0003ba34+54",""
"metadata#0x0003ba6a+36","已快速保存。","metadata#0x0003ba6a+36",""
"metadata#0x0003ba8e+36","要快速保存吗？","metadata#0x0003ba8e+36",""
"metadata#0x0003bab2+63","这是快速保存的地方，无法保存。","metadata#0x0003bab2+63",""
"metadata#0x0003baf1+21","快速载入","metadata#0x0003baf1+21",""
"metadata#0x0003bb06+36","已快速载入。","metadata#0x0003bb06+36",""
"metadata#0x0003bb2a+36","要快速载入吗？","metadata#0x0003bb2a+36",""
"metadata#0x0003bb4e+33","要结束游戏吗？","metadata#0x0003bb4e+33",""
"metadata#0x0003bb6f+45","要初始化声音设定吗？","metadata#0x0003bb6f+45",""
"metadata#0x0003bb9c+48","系统数据已损坏。","metadata#0x0003bb9c+48",""
"metadata#0x0003bbcc+147","系统数据已损坏。

将删除损坏的系统数据
并创建系统数据。","metadata#0x0003bbcc+147",""
"metadata#0x0003bc5f+119","系统数据已损坏。

无法读取的系统数据已全部被删除。","metadata#0x0003bc5f+119",""
"metadata#0x0003bcd6+54","系统数据创建失败。","metadata#0x0003bcd6+54",""
"metadata#0x0003bd0c+137","正在保存系统数据。

请勿切断主机电源或退出游戏。","metadata#0x0003bd0c+137",""
"metadata#0x0003bd95+48","已载入系统数据。","metadata#0x0003bd95+48",""
"metadata#0x0003bdc5+134","正在创建系统数据。

请勿切断主机电源或退出游戏。","metadata#0x0003bdc5+134",""
"metadata#0x0003be4b+45","创建了系统数据。","metadata#0x0003be4b+45",""
