"source","target","id","developer_comments"
"XCHAPTITLE_0002","3.朱鹭子的回忆①","XCHAPTITLE_0002",""
"XCOMMENTVIEW_0028","菱形　朱鹭子","XCOMMENTVIEW_0028",""
"XMESS_0000","（潮姐姐……已经死了。）","XMESS_0000",""
"XMESS_0001","（明明我已经参加了葬礼……
　但我还是没法相信。）","XMESS_0001",""
"XMESS_0002","（为什么？
　为什么会变成这样……）","XMESS_0002",""
"XMESS_0003","………………","XMESS_0003",""
"XMESS_0004","（慎平哥正在调查影子，
　爸爸是这么说的。）","XMESS_0004",""
"XMESS_0005","（哥哥说有话要对爸爸说……）","XMESS_0005",""
"XMESS_0006","（潮姐姐的遗体……
　有很多不自然的地方。）","XMESS_0006",""
"XMESS_0007","（事情会发展到这种地步，都是因为……）","XMESS_0007",""
"XMESS_0008","影子…………","XMESS_0008",""
"XMESS_0009","（不行，现在不能想这些事……！）","XMESS_0009",""
"XMESS_0010","（到了庆典之日——也就是后天，就全部结束了。
　之后会和以前一样的。）","XMESS_0010",""
"XMESS_0011","（到后天为止……
　在那之前就……）","XMESS_0011",""
"XMESS_0012","（希望什么都不要再发生了……）","XMESS_0012",""
"XMESS_0013","嗯……","XMESS_0013",""
"XMESS_0014","电话……？","XMESS_0014",""
"XMESS_0015","……哇！","XMESS_0015",""
"XMESS_0016","喂。
食物应该还没吃吧？","XMESS_0016",""
"XMESS_0017","……嗯。","XMESS_0017",""
"XMESS_0018","……不，现在我一个人在家。","XMESS_0018",""
"XMESS_0019","影、影子！？","XMESS_0019",""
"XMESS_0020","你……你在说什么！？
那种事情之前从来都没说过啊！","XMESS_0020",""
"XMESS_0021","诶，慎平哥他们……？","XMESS_0021",""
"XMESS_0022","但是……
即使你突然这么说——","XMESS_0022",""
"XMESS_0023","…………","XMESS_0023",""
"XMESS_0024","我们已经说好了吧。
绝对不能对她动手。","XMESS_0024",""
"XMESS_0025","那种事我也知道。
如果你死了，妈妈也会……","XMESS_0025",""
"XMESS_0026","另外……没有别的办法了吗？","XMESS_0026",""
"XMESS_0027","…………","XMESS_0027",""
"XMESS_0028","……我知道了。","XMESS_0028",""
"XMESS_0029","好了……我挂了。","XMESS_0029",""
"XMESS_0030","…………","XMESS_0030",""
